id,titles,authors,descriptions,tags,text,image,date,,"finance, economics, poetry, prose, creative, politics, opinionated, informative, article, business, environmentalism, free-verse, free-write, middle-east, photography, science, society, feminism "
0,In Remembrance Of The Old Mountain Ranges ,Alazne Qaisar ,"I crescendoed my voice, loud and clear Waiting for the mountains to respond to and mimic the shrill in my voice...","Photography, Poetry, Creative ",0.txt,https://1.bp.blogspot.com/-NQ3ZoegXUOY/XtSAzaObydI/AAAAAAAA1l8/dw_fE_Iy0O4MerFExm962SIEr3bi8u-aQCPcBGAsYHg/s1600/RNI-Films-IMG-01336C34-49CA-48E6-85FB-491136ED38DD.JPG,"Friday, April 10, 2020",,
1,Curl Your Tulips,Alazne Qaisar ,Curl your tulips away from the deafening silence that grips the valley. The shadows of injustice that follow each tavern...,"Photography, Creative, Poetry",1.txt,https://1.bp.blogspot.com/-1_tVRBCqpdo/XuBcEQoE6gI/AAAAAAAA1yU/B1YmrfjrAvo03qgyLmTiQXEsTkbB8Q1mACNcBGAsYHQ/s1600/IMG_9569.JPG,"Friday, April 10, 2020",,
2,The Demise of Andrew Scheer,Hanson Feng ,"All after a major corruption scandal, unmet fiscal promises, and policy that alienated the west; Trudeau still came out on top on a 2019 Monday night with minority control of the house all after what many Canadians called a battle of “evil versus evil...","Politics, Opinionated Articles ",2.txt,,"April 15, 2020",,
3,Investing and Economy,Hanson Feng ,"On Sunday April 19, 2020 a Reuters report outlined a multi-billion-dollar bankruptcy declaration by America’s largest luxury department store. This was after a $5.7 Million USD bond payment was left unpaid earlier that week....","Opinion Articles, Business",3.txt,,"April 20, 2020",,
4,Centuries of Antagonism ,Aysha Rasha ,"On February 3, the New York Times quoted the desperate plea of a Yazidi, a member of an ethnic-religious group facing communal extermination in the hands of ISIS terrorists. In simple, but moving terms he summed up the plight of his people, ‘Please help us. They are killing us and kidnapping our women and children.’...","Informative Article, Politics ",4.txt,,"April 20, 2020",,
5,The City Is Quiet ,Aryan Vishwaskarma ,"The city seems peculiarly quiet, The roads have become an abode of peace, Nature is nurturing, But at grim cost...","Photography, Poetry, Creative ",5.txt,https://1.bp.blogspot.com/-BfpKC0lquy4/XtSDmiHlM6I/AAAAAAAA1mI/Sc9r20iPGkoJvr-Ol9uBrEGTnIe9ctowgCNcBGAsYHQ/s1600/fullsizeoutput_110e.jpeg,"April 10, 2020",,
6,The Practice of Nepal’s Menstrual Taboo - Chhaupadi Pratha,Arya Khadka,"The biological phenomenon of menstruation is indefinitely linked to the foundation sustaining human life and mankind, a process which shouldn’t be seen as sinful and an act of shame. This reality of normalizing menstruation amongst adolescent youth and women is only a dream for many in Nepal, primarily western districts of Nepal who continue to rigidly practice the social tradition of Chhaupadi Pratha - a form of menstrual exile...","Informative Article, Society, Politics",6.txt,https://lh5.googleusercontent.com/UwZySJPYmdfxf7we2W7KstgDegUCw0e-o5utf9z44CHRA1tnqiKI-9xflX5pjmmYXLjpVaodQyz6-eIyi9b4nTkXlo_f74x8xL2dthchPj7Gwk4YwUMi08eky4-tVv6lqRH1n5gH,"April 20, 2020",,
7,Flames Of The Sea ,Aditya Mayuresh Thite ,"At the Cusp of the hour, There are the flames of the sea that reside in our vicinity, We as the kings and queens of our domains, Why do we reside in silence?","Poetry, Creative",7.txt,https://2.bp.blogspot.com/-EgZ-cOAwPLw/XtSFMj9hz6I/AAAAAAAA1m0/MWyg19e2WrsFje3kOK8dwQDvrNF2p8O-gCK4BGAYYCw/s1600/ThinkstockPhotos-473118310.jpg,"April 24, 2020",,
8,Reducing Your Carbon Footprint ,Daphne Dawson ,Caring for the environment is essential for future sustainability but it also affects our everyday lives. Pollution can negatively impact your health and being in nature is shown to improve your mood. Making sure that the world is healthy is something that everyone should be conscious of in their daily lives...,"Photography, Environmentalism, Free Write, Creative",8.txt,https://1.bp.blogspot.com/-TUmHt46NFj0/XtSD_oRT9dI/AAAAAAAA1mU/t6B2-y1YoVAmpJqCgfPfubi77jaXRwFtgCPcBGAsYHg/s1600/IMG_4249.JPG,"April 24, 2020",,
9,$817 Billion CAD Spent in Direct Relief paired with a Message to Canadians to Save for a Rainy Day,Hanson Feng ,"The Government of Canada has launched a spree of support Canadians and businesses, helping the most vulnerable in society to ensure Canadians can continue to live after the pandemic comes to an end. This will cost taxpayers over $817 billion dollars plus interest on borrowed capital.","Economics, Opinions Article, Finance, Business",9.txt,https://2.bp.blogspot.com/-5-UglMcelbQ/XtSEcAkLFfI/AAAAAAAA1mk/g8dyteYxswIsTJXNwqQkcLMVgxPioSV4wCK4BGAYYCw/s1600/Best-Savings-Rates.jpg,"April 28, 2020",,
